koi_disposition,koi_pdisposition,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_quarters,koi_bin_oedp_sig,koi_model_dof,koi_model_chisq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
CANDIDATE,CANDIDATE,39.74893077,172.854644,2455005.855,0.0,,0.881,7.3051,,15179.0,0.134949,0.31474,14.21,0.2311,88.3,552.0,21.87,29.734,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2916,0.3447,123.3638,505.17914,561.1,1,34.0,1.0,11111111111111111000000000000000,0.255,,,6122.0,4.487,-0.18,0.964,1.041,,293.17929,41.969238,15.344,15.804,15.287,15.147,15.06,14.131,13.824,13.767,0.0,19.54528636,41.9692414,0.015,0.005,-0.0049,0.0017,0.119,-0.07,0.138,0.062,0.024,0.067
CANDIDATE,CANDIDATE,13.61014819,173.987319,2455006.987,0.0,,1.081,2.594,,5732.9,0.192842,0.84633,19.02,0.1061,86.94,733.0,68.29,20.24,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2787,0.3728,36.547604,209.14677,184.1,1,101.0,1.0,11111111111111111000000000000000,0.9953,,,5697.0,4.46,-0.26,0.903,0.857,,289.89777,42.009151,15.06,15.607,14.999,14.825,14.697,13.702,13.307,13.245,0.015,19.3265228,42.009183,0.191,0.118,-0.00066,0.00021,0.056,-0.045,0.072,0.139,0.08,0.16
CANDIDATE,CANDIDATE,119.0207044,222.236492,2455055.236,0.0,,0.076,8.1405,,7430.5,0.077431,2.31024,8.98,0.4582,89.96,366.0,4.25,120.05,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.224,0.4695,63.25567,165.9875,223.5,1,11.0,1.0,11111111111111111000000000000000,0.0001,,,5453.0,4.342,0.16,1.062,0.904,,291.58377,42.36816,15.085,15.601,15.024,14.864,14.78,13.858,13.476,13.398,0.0,19.4389289,42.368062,0.407,-0.351,0.0043,-0.0041,-1.52,1.7,2.28,0.002,-0.078,0.078
CANDIDATE,CANDIDATE,12.940668656,179.423014,2455012.423,0.0,,0.897,2.4845,,42450.0,0.259639,4.93266,22.94,0.1039,88.54,723.0,64.64,35.21,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2865,0.3556,209.9436,1375.2338,307.5,1,100.0,1.0,11111111111111111000000000000000,0.8178,,,5875.0,4.572,-0.42,0.809,0.895,,291.11969,42.507069,15.215,15.674,15.167,15.018,14.948,14.079,13.715,13.633,0.0,19.40797301,42.5070417,-0.2503,-0.1019,-0.0016,0.0021,-0.002,-0.009,0.009,-0.143,-0.117,0.185
CANDIDATE,CANDIDATE,2.688899233,170.1020904,2455003.102,0.0,,0.001,2.11275,,37492.0,0.172543,3.89722,12.04,0.0335,90.0,929.0,175.76,11.4204,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1392,0.5856,120.20046,1777.0094,1011.6,1,499.0,1.0,11111111111111111000000000000000,0.0001,,,4820.0,4.667,-0.4,0.639,0.699,,296.68307,42.967869,15.766,16.587,15.72,15.414,15.22,14.178,13.631,13.522,0.0,19.77888413,42.9680077,0.5305,0.4959,0.0296,0.0273,-1.13,-1.08,1.56,0.115,0.098,0.151
CANDIDATE,CANDIDATE,12.732624065,176.939054,2455009.939,0.0,,0.811,2.2083,,6465.7,0.082519,3.68779,4.87,0.0881,88.53,432.0,8.22,31.62,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2238,0.5081,34.47275,209.49731,210.5,1,110.0,1.0,11111111111111111000000000000000,0.6031,,,3950.0,4.721,-0.14,0.541,0.563,,285.16748,43.876339,15.75,16.872,15.715,15.269,15.028,13.909,13.326,13.182,0.216,19.0111579,43.876323,-0.314,-0.061,0.00059,-0.0002,-0.019,-0.007,0.02,-0.206,-0.065,0.216
CANDIDATE,CANDIDATE,83.92494032,236.76334,2455069.763,0.0,,0.658,6.7904,,7958.7,0.086015,1.45972,4.78,0.3031,89.54,226.0,0.62,81.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2887,0.4242,43.030296,121.1208,182.1,1,18.0,1.0,11111111111111111000000000000000,0.3486,,,3960.0,4.746,-0.36,0.509,0.526,,287.85239,43.897991,15.754,16.789,15.679,15.311,15.116,14.0,13.359,13.215,0.0,19.1901626,43.898097,0.127,0.384,0.004,0.0002,-0.094,-0.02,0.096,-0.03,0.176,0.178
CANDIDATE,CANDIDATE,3.886655224,169.73814,2455002.738,0.0,,0.649,3.1646,,581.6,0.023262,0.52154,1.87,0.0451,85.02,1010.0,246.29,7.47,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2865,0.3556,5.37064,41.233078,48.1,1,343.0,1.0,11111111111111111000000000000000,0.0989,,,5662.0,4.61,-0.54,0.738,0.813,,288.72665,44.60751,15.371,15.88,15.329,15.153,15.075,14.153,13.764,13.648,0.0,19.2484399,44.607207,-0.13,-1.09,-0.000119,-0.00047,0.41,1.72,1.77,0.04,-0.22,0.23
CANDIDATE,CANDIDATE,2.494170338,170.852848,2455003.853,0.0,,0.095,1.1221,,863.7,0.026777,15.93621,2.42,0.0351,89.69,1194.0,480.19,17.37,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2396,0.4415,5.3565664,37.2115,69.2,1,535.0,1.0,11111111111111111000000000000000,0.3378,,,5569.0,4.566,-0.08,0.829,0.928,,284.75943,45.599129,15.251,15.793,15.211,15.019,14.929,13.945,13.542,13.589,0.064,18.9839442,45.599007,-0.67,-0.44,0.00028,4e-05,-0.04,0.033,0.05,-0.1,-0.25,0.26
CANDIDATE,CANDIDATE,39.4759093,173.31207,2455006.312,0.0,,0.938,2.968,,1012.6,0.036074,1.08697,4.06,0.2338,88.8,577.0,26.13,44.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.302,0.319,5.456901,20.340858,26.6,1,34.0,1.0,11111111111111111000000000000000,0.8332,,,6225.0,4.45,-0.12,1.031,1.091,,291.20804,45.244389,15.229,15.656,15.17,15.045,14.986,14.062,13.769,13.713,0.555,19.413864,45.2444,-0.23,0.04,0.00041,0.00015,-0.07,0.05,0.09,0.03,0.14,0.14
CANDIDATE,CANDIDATE,9.61731426,142.47479,2454975.475,0.0,,0.331,3.8692,,234.0,0.01416,1.2355,1.94,0.0873,88.96,1010.0,246.13,18.21,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2949,0.3354,2.9420934,7.8495355,18.2,4,137.0,4.0,11111111111111111000000000000000,0.8716,,,6035.0,4.22,-0.28,1.257,0.958,,294.02301,45.853081,15.237,15.592,15.199,15.086,15.071,14.233,13.984,13.871,0.33,19.601563,45.85324,1.1,0.6,-0.00016,-9e-05,-0.92,2.6,2.8,-0.92,2.65,2.8
CANDIDATE,CANDIDATE,90.1240507,356.23415,2455189.234,0.0,,0.698,11.649,,3020.3,0.053684,0.23661,7.12,0.427,89.14,485.0,13.09,46.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3138,0.2998,18.799704,49.1015,57.9,1,13.0,1.0,00011111111111111000000000000000,0.0,,,6520.0,4.375,0.07,1.215,1.279,,293.22391,38.033581,14.96,15.395,14.892,14.774,14.822,13.968,13.698,13.593,0.0,19.5482227,38.033614,-1.59,0.121,-0.002,0.00089,0.067,-0.11,0.13,-0.15,0.23,0.27
CANDIDATE,CANDIDATE,856.672115,228.44988,2455061.45,0.0,,0.1158,23.144,,858.1,0.027062,0.61949,3.87,1.8045,89.95,242.0,0.81,288.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3082,0.2905,,,39.2,1,,,,,,,6449.0,4.232,-0.32,1.309,1.063,,287.58679,47.600021,13.997,14.339,13.96,13.851,13.834,12.923,12.672,12.595,,,,,,,,,,,,,
CANDIDATE,CANDIDATE,0.689210173,133.28584,2454966.286,0.0,,0.154,1.6169,,195.0,0.012649,1.45015,1.32,0.0156,87.33,1943.0,3362.71,3.315,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2514,0.4282,4.6458826,22.914194,93.4,1,1945.0,1.0,11111111111111111000000000000000,0.848,,,5630.0,4.505,0.36,0.954,1.064,,281.55118,47.469959,13.248,13.661,13.175,13.071,13.01,12.103,11.768,11.715,0.143,18.770059,47.46992,-0.69,-0.15,5e-05,1.7e-05,-0.06,-0.04,0.07,-0.07,0.06,0.1
CANDIDATE,CANDIDATE,3.9886021,171.01852,2455004.019,0.0,,0.06,1.7376,,673.5,0.023067,6.8428,34.39,0.0622,89.81,3145.0,23135.72,17.92,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1392,0.594,8.7045,52.55095,37.1,1,335.0,1.0,11111111111111111000000000000000,0.7696,,,4813.0,2.472,-0.22,13.652,2.016,,289.09323,49.424484,6.974,8.261,7.227,,,5.393,4.854,4.718,0.0,19.273107,49.42199,7.9,-9.0,-0.00289,0.00364,-11.3,18.7,21.9,-18.6,34.0,38.8
CANDIDATE,CANDIDATE,0.533059312,171.2274419,2455004.227,0.0,,1.263,1.8621,,1495.8,0.301918,0.20416,133.56,0.0167,29.64,5862.0,277887.7,1.452852,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2809,0.2642,22.87552,13.460673,179.6,1,2003.0,1.0,11111110111011101000000000000000,0.6362,,,8523.0,3.559,-0.5,4.051,2.166,,286.0192,48.866741,7.748,7.628,7.789,7.935,8.034,7.388,7.343,7.355,0.0,19.0678934,48.86693,-1.89,0.68,0.000122,6.1e-05,7.6,-3.7,8.4,9.7,-7.2,12.1
CANDIDATE,CANDIDATE,129995.7784,393.59962,2455226.6,0.0,,0.7127,9.408,,1474.9,0.037707,564.89948,2.99,44.9892,89.95,25.0,0.0,79614.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0625,0.6915,,,35.7,1,,,,,,,4500.0,4.572,0.2,0.726,0.717,,296.82162,47.354031,13.447,14.498,13.406,12.997,12.712,11.607,10.972,10.843,,,,,,,,,,,,,
CANDIDATE,CANDIDATE,13.118962443,261.539434,2455094.539,0.0,,0.042,4.3045,,372.2,0.017826,1.46058,8.25,0.1376,89.9,1768.0,2310.43,23.6858,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2369,0.3715,25.880836,182.40976,267.4,2,103.0,1.0,11111111111111111000000000000000,0.8905,,,7221.0,3.488,-0.18,4.24,2.018,,282.00031,48.542221,9.275,9.265,9.278,9.392,9.493,8.816,8.765,8.736,,18.8000076,48.542446,-0.49,0.81,0.000238,,-3.41,3.9,5.2,-3.21,4.3,5.4
CANDIDATE,CANDIDATE,7.82187328,123.49907,2454956.499,0.0,,0.005,3.8417,,42.2,0.006005,1.18707,2.78,0.0975,89.98,2101.0,4601.71,15.658,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2369,0.3715,11.118767,20.88297,37.2,2,166.0,2.0,11111111111111111000000000000000,0.8888,,,7221.0,3.488,-0.18,4.24,2.018,,282.00031,48.542221,9.275,9.265,9.278,9.392,9.493,8.816,8.765,8.736,,18.800049,48.54236,1.0,0.5,-2.6e-05,,-2.6,2.8,3.9,-4.7,3.0,5.6
CANDIDATE,CANDIDATE,53.5057611,172.98304,2455005.983,0.0,,0.46,10.5616,,195.6,0.013111,0.28176,2.52,0.2934,89.25,675.0,49.16,34.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.303,0.3166,9.983454,40.118782,71.2,1,26.0,1.0,11111111111111111000000000000000,0.6507,,,6247.0,4.016,-0.12,1.762,1.174,,295.80267,45.988079,9.582,9.862,9.518,9.462,9.487,8.661,8.457,8.407,0.0,19.7202344,45.988357,2.09,1.0,-0.000167,-0.00014,2.31,1.1,2.57,1.3,0.99,1.7
CANDIDATE,CANDIDATE,13.4471791,132.830555,2454965.831,0.0,,0.963,3.0454,,1428.2,0.046114,0.27583,5.24,0.1109,86.0,848.0,122.34,13.815,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3058,0.3071,16.016148,101.02754,105.3,1,100.0,1.0,11111111111111111000000000000000,0.4334,,,6276.0,4.405,-0.32,1.041,1.001,,292.37476,37.630959,14.0,14.391,13.952,13.832,13.76,12.891,12.605,12.554,0.006,19.4916534,37.630755,0.09,-0.74,9e-05,0.00037,0.04,-0.24,0.24,0.06,-0.14,0.15
CANDIDATE,CANDIDATE,67.5923754,151.75056,2454984.751,0.0,,0.728,12.249,,4158.1,0.063536,0.14489,12.1,0.3582,88.73,588.0,28.2,32.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2845,0.3747,56.80393,97.08831,60.9,1,21.0,2.0,11111111111111111000000000000000,0.3897,,,6038.0,4.082,0.34,1.744,1.341,,295.58658,45.364979,13.675,14.038,13.622,13.52,13.49,12.628,12.413,12.322,0.123,19.7057672,45.364865,-0.18,-0.41,9e-05,0.0001,-0.02,-0.1,0.1,0.05,-0.15,0.16
CANDIDATE,CANDIDATE,7.37290344,137.60991,2454970.61,0.0,,0.993,2.172,,205.2,0.022864,0.09167,2.67,0.0737,81.09,1004.0,240.11,6.41,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2889,0.3511,3.7864234,16.037548,19.1,1,180.0,1.0,11111111111111111000000000000000,0.7859,,,5973.0,4.371,-0.14,1.07,0.982,,291.65097,38.028179,13.835,14.216,13.785,13.672,13.591,12.761,12.484,12.43,0.0,19.443402,38.02849,0.13,1.13,-7e-05,-0.00031,-0.1,0.0,0.1,-0.2,0.3,0.4
CANDIDATE,CANDIDATE,119.0624882,149.22223,2454982.222,0.0,,0.968,3.1188,,5372.3,0.103475,4.92398,10.4,0.4328,89.64,366.0,4.26,154.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2865,0.3556,24.319216,71.34807,71.6,1,13.0,1.0,11111111111111111000000000000000,0.2035,,,5697.0,4.392,-0.52,0.92,0.76,,287.88812,39.078709,15.289,15.851,15.26,15.048,14.937,14.03,13.607,13.532,0.798,19.1925378,39.078663,-0.18,-0.17,0.0004,0.0002,0.12,-0.04,0.12,0.108,-0.04,0.115
CANDIDATE,CANDIDATE,14.8623076,354.57297,2455187.573,0.0,,0.324,3.161,,840.0,0.025982,3.66619,1.57,0.0993,89.47,454.0,10.08,34.98,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1496,0.5738,3.7422206,10.898724,14.4,3,57.0,3.0,00011011101110111000000000000000,0.2071,,,4362.0,4.722,-0.5,0.554,0.59,,293.80441,38.63913,15.842,16.893,15.784,15.391,15.148,14.091,13.434,13.378,0.005,19.586971,38.63796,0.41,-4.22,0.0001,0.00066,0.2,-0.96,0.98,0.66,-3.65,3.71
CANDIDATE,CANDIDATE,16.15811112,143.00233,2454976.002,0.0,,1.8572,6.049,,2319.8,0.902495,0.04658,86.13,0.1233,77.35,660.0,44.83,8.63,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2466,0.43,28.548334,45.10528,52.8,4,67.0,1.0,11111101110111011000000000000000,,,,5619.0,4.536,0.02,0.874,0.956,,296.38229,48.045311,15.488,16.084,15.416,15.233,15.129,14.11,13.804,13.859,0.116,19.7588182,48.045233,-0.01,-0.28,-0.00038,-0.00048,1.69,-2.67,3.16,1.54,-2.81,3.2
CANDIDATE,CANDIDATE,1295.362215,176.10646,2455009.106,0.0,,1.3935,28.297,,8708.0,0.505204,0.08885,57.82,2.2372,89.38,169.0,0.19,199.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.249,0.4256,,,164.0,2,,,,,,,5609.0,4.346,-0.04,1.048,0.889,,291.03217,38.703911,14.215,14.789,14.159,13.969,13.879,12.918,12.546,12.472,,,,,,,,,,,,,
CANDIDATE,CANDIDATE,4.2989201,132.86187,2454965.862,0.0,,0.972,2.747,,237.6,0.019694,0.05666,2.12,0.0492,75.22,1046.0,283.62,3.81,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.186,0.5256,3.9862328,15.994445,20.0,1,314.0,1.0,11111111111111111000000000000000,0.102,,,5300.0,4.385,0.18,0.986,0.861,,291.14249,37.061321,14.613,15.224,14.534,14.352,14.287,13.284,12.909,12.835,0.0,19.4094849,37.06078,-0.62,-1.94,-0.000201,-0.00045,3.29,9.17,9.74,-0.68,0.09,0.69
CANDIDATE,CANDIDATE,5.714817603,355.00831,2455188.008,0.0,,0.096,3.14126,,12295.0,0.101045,2.05742,9.29,0.0597,89.64,943.0,187.27,15.258,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2787,0.3728,56.74603,529.8256,537.7,1,200.0,1.0,00011111111111111000000000000000,0.5628,,,5695.0,4.526,-0.28,0.842,0.869,,299.78632,44.16954,15.623,16.237,15.596,15.36,15.256,14.295,13.888,13.856,0.0,19.98576669,44.1697,0.441,0.576,0.00954,0.0107,-2.48,-1.94,3.15,-0.054,0.058,0.079
CANDIDATE,CANDIDATE,2.83668931,353.81531,2455186.815,0.0,,0.33,3.031,,166.1,0.011852,0.762,1.19,0.0395,87.25,1242.0,562.48,6.87,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,3.1456695,8.954725,12.1,3,355.0,3.0,00011111111111111000000000000000,0.5422,,,5831.0,4.517,0.0,0.921,1.016,,290.21518,41.77597,15.808,16.324,15.706,15.587,15.481,14.438,14.14,13.961,0.055,19.347603,41.77566,-3.0,-1.1,0.00031,0.00016,-0.74,0.2,0.77,-0.83,0.22,0.85
CANDIDATE,CANDIDATE,1.00861677,132.109479,2454965.109,,,,0.91,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,292.47971,38.514919,15.319,15.679,15.231,15.165,15.138,14.277,14.027,13.957,,,,,,,,,,,,,
CANDIDATE,CANDIDATE,2.624234833,132.304988,2454965.305,0.0,,0.781,1.3874,,2607.0,0.052044,2.93173,5.11,0.0368,85.62,1164.0,434.31,10.22,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1828,0.5324,18.873169,249.06653,361.1,1,508.0,1.0,11111111111111111000000000000000,0.5493,,,5340.0,4.514,0.36,0.899,0.963,,288.0383,50.651611,13.687,14.261,13.618,13.441,13.384,12.489,12.052,11.986,0.001,19.2025446,50.651584,-0.299,-0.095,0.00015,0.00017,-0.029,-0.285,0.287,-0.285,-0.374,0.47
CANDIDATE,CANDIDATE,92.77779,367.6112,2455200.611,0.0,,0.0174,6.64,,359.0,0.017215,2.81316,1.92,0.4083,89.95,410.0,6.7,108.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.275,0.3869,,,5.2,3,,,,,,,5888.0,4.444,0.1,1.019,1.053,,294.48438,44.166908,15.59,16.153,15.533,15.348,15.269,14.3,13.907,13.811,,,,,,,,,,,,,
CANDIDATE,CANDIDATE,422.917678,448.49648,2455281.496,0.0,,0.7887,31.274,,1367.7,0.037343,0.03569,5.89,1.1043,89.38,292.0,1.73,69.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2711,0.3864,,,61.7,1,,,,,,,5796.0,4.12,-0.02,1.444,1.004,,293.95459,38.899971,13.642,14.188,13.6,13.408,13.341,12.439,12.1,12.052,,,,,,,,,,,,,
CANDIDATE,CANDIDATE,30.5872153,162.8842,2454995.884,0.0,,0.013,5.3698,,464.8,0.01965,1.76632,2.32,0.1931,89.98,621.0,35.08,44.37,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2868,0.3588,6.565337,22.413473,33.1,1,44.0,1.0,11111111111111111000000000000000,0.9888,,,5944.0,4.38,0.0,1.082,1.024,,296.54861,44.264671,14.143,14.581,14.09,13.956,13.89,13.028,12.723,12.685,0.036,19.769922,44.26456,0.52,-0.4,-0.00022,0.00018,-0.26,-0.07,0.27,-0.24,-0.19,0.31
